id,time_id,Time_Date,Time_Year,Time_Month,Time_Day,site_id,Site_Name,Site_Location,equipment_id,Equipment_Name,Equipment_Type,Equipment_Rated_Capacity,Equipment_Operational_Status,energy_type_id,Energy_Type_Name,weather_id,Weather_Condition,Weather_Temperature
147,147,2024-04-19 11:36:44.920375,2024,4,19,24,Rantau Dedap,Jawa Barat,36,Wellhead Unit AlphaTherm,Wellhead,597.36,Maintenance,4,PLTU,5,Rain Showers,16.0
148,148,2023-08-07 06:39:44.920375,2023,8,7,6,Wayang PLTBu,NTT,56,Blade Set AeroPro,Generator,1508.28,Operational,2,PLTB,5,Rain Showers,25.6
149,149,2024-09-27 04:47:44.920375,2024,9,27,9,Ulumbu,Sulawesi Selatan,84,PLTS Panel Array Alpha,Tracker,1854.39,Operational,1,PLTS,2,Partly Cloudy,18.6
150,150,2024-04-26 21:13:44.920375,2024,4,26,22,Dieng,Sumatera Selatan,46,Steam Turbine BioSteam Z,Turbine,1275.77,Failed,5,PLTG,1,Clear,33.7
151,151,2023-09-08 22:18:44.920375,2023,9,8,14,Grati,Jawa Tengah,6,PLTS Panel B-Series X,Mounting System,414.8,Operational,1,PLTS,7,Foggy,16.8
152,152,2025-02-22 14:19:44.920375,2025,2,22,12,Suralaya,Jawa Timur,64,Kaplan Turbine FlowMax,Turbine,1624.41,Operational,3,PLTA,7,Foggy,37.4
153,153,2024-08-14 06:08:44.920375,2024,8,14,16,Tambak Lorok,Sulawesi Utara,87,Binary Cycle Plant GeoFlow,Condenser,1356.55,Operational,4,PLTU,8,Hazy,27.7
154,154,2024-01-12 01:45:44.920375,2024,1,12,14,Grati,Jawa Tengah,33,Pelletizer BioFuel,Feeder System,1059.63,Operational,5,PLTG,7,Foggy,20.6
155,155,2023-07-13 11:03:44.920375,2023,7,13,21,Patuha,Lampung,23,Generator PLTAGenX,Spillway Gate,1685.71,Degraded,3,PLTA,2,Partly Cloudy,10.4
156,156,2025-04-10 14:36:44.920375,2025,4,10,9,Ulumbu,Sulawesi Selatan,37,PLTB Turbine G100,Turbine,269.28,Maintenance,2,PLTB,4,Overcast,19.8
157,157,2023-09-26 06:27:44.920375,2023,9,26,8,Lahendong,DKI Jakarta,41,Kaplan Turbine FlowMax,Generator,1117.27,Maintenance,3,PLTA,4,Overcast,17.4
158,158,2025-01-21 10:25:44.920375,2025,1,21,12,Suralaya,Jawa Timur,23,Generator PLTAGenX,Spillway Gate,1401.58,Standby,3,PLTA,3,Cloudy,17.3
159,159,2024-12-03 17:22:44.920375,2024,12,3,19,Likupang,DKI Jakarta,86,Steam Turbine GeoPower X1,Heat Exchanger,1600.34,Operational,4,PLTU,7,Foggy,34.9
160,160,2025-02-20 05:28:44.920375,2025,2,20,11,Paiton,Sumatera Selatan,85,Pelletizer BioFuel,Boiler,1886.05,Degraded,5,PLTG,1,Clear,10.0
161,161,2025-04-24 06:09:44.920375,2025,4,24,9,Ulumbu,Sulawesi Selatan,2,PLTA Turbine T-Francis,Generator,481.87,Maintenance,3,PLTA,2,Partly Cloudy,25.9
162,162,2024-09-17 14:19:44.920375,2024,9,17,8,Lahendong,DKI Jakarta,79,Pelletizer BioFuel,Feeder System,1191.91,Operational,5,PLTG,5,Rain Showers,27.0
163,163,2024-03-30 13:04:44.920375,2024,3,30,5,Darajat,Sulawesi Utara,91,Engine Cummins KTA50,Fuel System,1007.27,Standby,6,PLTG,5,Rain Showers,22.6
164,164,2025-03-26 05:25:44.920375,2025,3,26,2,Cirata,Jawa Barat,52,PLTG Boiler BioBurn R1,Gasifier,121.41,Failed,5,PLTG,2,Partly Cloudy,37.3
165,165,2024-09-04 18:50:44.920375,2024,9,4,15,Muara Karang,Sumatera Utara,88,Blade Set AeroPro,Turbine,1285.43,Degraded,2,PLTB,8,Hazy,24.2
166,166,2024-08-10 13:13:44.920375,2024,8,10,24,Rantau Dedap,Jawa Barat,11,Pelton Wheel AquaForce,Generator,745.06,Degraded,3,PLTA,5,Rain Showers,26.2
167,167,2024-02-01 14:35:44.920375,2024,2,1,6,Wayang PLTBu,NTT,6,PLTS Panel B-Series X,Mounting System,366.28,Failed,1,PLTS,3,Cloudy,17.5
168,168,2024-01-17 15:05:44.920375,2024,1,17,1,Karangkates,Jawa Timur,51,PLTA Turbine T-Francis,Turbine,1627.19,Failed,3,PLTA,5,Rain Showers,25.4
169,169,2024-07-09 07:02:44.920375,2024,7,9,20,Gunung Salak,Sulawesi Selatan,47,Fuel Tank PetroStore 50KL,Generator Set,1169.96,Degraded,6,PLTG,3,Cloudy,11.2
170,170,2025-05-11 03:51:44.920375,2025,5,11,25,Muara Laboh,Jawa Tengah,87,Binary Cycle Plant GeoFlow,Condenser,1044.16,Operational,4,PLTU,7,Foggy,23.6
171,171,2023-09-29 20:25:44.920375,2023,9,29,12,Suralaya,Jawa Timur,49,Kaplan Turbine FlowMax,Generator,1189.35,Operational,3,PLTA,3,Cloudy,35.3
172,172,2024-12-05 06:04:44.920375,2024,12,5,3,Saguling,Jawa Tengah,48,PLTA Turbine T-Francis,Spillway Gate,536.4,Degraded,3,PLTA,7,Foggy,10.1
173,173,2025-01-14 15:24:44.920375,2025,1,14,24,Rantau Dedap,Jawa Barat,83,PLTG Boiler BioBurn R1,Gasifier,324.29,Standby,5,PLTG,7,Foggy,25.5
174,174,2024-11-14 19:49:44.920375,2024,11,14,7,Sibayak,Banten,71,PLTG Boiler BioBurn R1,Feeder System,1058.06,Standby,5,PLTG,1,Clear,28.4
175,175,2024-12-27 22:41:44.920375,2024,12,27,3,Saguling,Jawa Tengah,78,Gasifier WoodChip X200,Turbine,437.88,Maintenance,5,PLTG,3,Cloudy,11.8
176,176,2025-02-04 05:33:44.920375,2025,2,4,12,Suralaya,Jawa Timur,99,PLTG Generator CAT D1000,Exhaust System,1235.86,Failed,6,PLTG,1,Clear,11.4
177,177,2023-12-20 17:55:44.920375,2023,12,20,17,Sidrap,NTT,66,Wellhead Unit AlphaTherm,Wellhead,1153.8,Degraded,4,PLTU,1,Clear,34.4
178,178,2025-03-09 15:24:44.920375,2025,3,9,2,Cirata,Jawa Barat,80,Central Inverter SunGrow,Mounting System,184.93,Failed,1,PLTS,2,Partly Cloudy,35.8
179,179,2025-04-23 15:20:44.920375,2025,4,23,25,Muara Laboh,Jawa Tengah,93,PLTB Turbine G100,Gearbox,1083.36,Degraded,2,PLTB,6,Thunderstorm,16.6
180,180,2024-05-16 05:28:44.920375,2024,5,16,9,Ulumbu,Sulawesi Selatan,7,PLTS Panel Array Alpha,Mounting System,121.83,Degraded,1,PLTS,3,Cloudy,16.4
181,181,2024-10-24 03:48:44.920375,2024,10,24,8,Lahendong,DKI Jakarta,20,Alternator PLTGGen Pro,Fuel System,1479.41,Standby,6,PLTG,2,Partly Cloudy,18.8
182,182,2024-06-19 05:52:44.920375,2024,6,19,2,Cirata,Jawa Barat,51,PLTA Turbine T-Francis,Turbine,563.72,Standby,3,PLTA,6,Thunderstorm,27.4
183,183,2024-01-08 10:14:44.920375,2024,1,8,24,Rantau Dedap,Jawa Barat,3,Pelletizer BioFuel,Turbine,1344.22,Failed,5,PLTG,3,Cloudy,22.3
184,184,2025-01-04 12:10:44.920375,2025,1,4,23,Sorik Marapi,Jawa Timur,49,Kaplan Turbine FlowMax,Generator,106.93,Standby,3,PLTA,3,Cloudy,26.8
185,185,2024-08-22 17:34:44.920375,2024,8,22,24,Rantau Dedap,Jawa Barat,22,PLTB Turbine Vestas V120,Gearbox,1427.49,Standby,2,PLTB,1,Clear,37.3
186,186,2024-03-06 06:53:44.920375,2024,3,6,22,Dieng,Sumatera Selatan,85,Pelletizer BioFuel,Boiler,1734.91,Failed,5,PLTG,1,Clear,32.0
187,187,2023-11-07 18:10:44.920375,2023,11,7,11,Paiton,Sumatera Selatan,64,Kaplan Turbine FlowMax,Turbine,581.51,Degraded,3,PLTA,1,Clear,33.1
188,188,2024-06-29 13:35:44.920375,2024,6,29,2,Cirata,Jawa Barat,39,PLTS Panel B-Series X,Mounting System,969.15,Degraded,1,PLTS,8,Hazy,22.3
189,189,2024-07-04 12:35:44.920375,2024,7,4,25,Muara Laboh,Jawa Tengah,36,Wellhead Unit AlphaTherm,Wellhead,263.78,Maintenance,4,PLTU,1,Clear,39.9
190,190,2024-03-16 03:38:44.920375,2024,3,16,15,Muara Karang,Sumatera Utara,25,Kaplan Turbine FlowMax,Penstock,1496.74,Standby,3,PLTA,6,Thunderstorm,11.7
191,191,2025-01-30 05:36:44.920375,2025,1,30,1,Karangkates,Jawa Timur,55,PLTA Turbine T-Francis,Turbine,1166.05,Failed,3,PLTA,1,Clear,17.8
192,192,2024-05-04 12:58:44.920375,2024,5,4,18,Jeneponto,Banten,55,PLTA Turbine T-Francis,Turbine,362.33,Failed,3,PLTA,5,Rain Showers,26.3
193,193,2024-11-07 06:57:44.920375,2024,11,7,19,Likupang,DKI Jakarta,50,Pelletizer BioFuel,Gasifier,1643.91,Operational,5,PLTG,1,Clear,19.4
194,194,2023-12-21 20:04:44.920375,2023,12,21,23,Sorik Marapi,Jawa Timur,57,Gearbox PLTBMaster,Turbine,1234.71,Standby,2,PLTB,5,Rain Showers,21.6
195,195,2025-04-11 00:41:44.920375,2025,4,11,21,Patuha,Lampung,17,Cooling Tower GeoCool,Heat Exchanger,1087.2,Failed,4,PLTU,3,Cloudy,36.2
196,196,2024-06-26 13:44:44.920375,2024,6,26,15,Muara Karang,Sumatera Utara,47,Fuel Tank PetroStore 50KL,Generator Set,835.52,Maintenance,6,PLTG,2,Partly Cloudy,28.5
197,197,2025-02-12 12:26:44.920375,2025,2,12,18,Jeneponto,Banten,1,Blade Set AeroPro,Nacelle,1274.35,Maintenance,2,PLTB,7,Foggy,25.6
198,198,2025-02-22 16:34:44.920375,2025,2,22,22,Dieng,Sumatera Selatan,43,Binary Cycle Plant GeoFlow,Wellhead,595.43,Operational,4,PLTU,6,Thunderstorm,21.2
199,199,2024-07-15 20:03:44.920375,2024,7,15,13,Tanjung Jati B,Jawa Barat,58,Steam Turbine GeoPower X1,Wellhead,523.36,Operational,4,PLTU,6,Thunderstorm,37.4
200,200,2023-09-06 02:53:44.920375,2023,9,6,6,Wayang PLTBu,NTT,82,Wellhead Unit AlphaTherm,Condenser,835.09,Operational,4,PLTU,6,Thunderstorm,13.9
201,201,2023-07-03 13:39:44.920375,2023,7,3,4,Kamojang,Sumatera Utara,81,PLTG Generator CAT D1000,Engine,176.98,Operational,6,PLTG,3,Cloudy,30.6
202,202,2024-01-27 20:27:44.920375,2024,1,27,21,Patuha,Lampung,13,PLTS Panel Array Alpha,Photovoltaic Panel,1106.84,Degraded,1,PLTS,8,Hazy,38.3
203,203,2025-05-23 01:50:44.920375,2025,5,23,16,Tambak Lorok,Sulawesi Utara,72,Cooling Tower GeoCool,Heat Exchanger,1382.23,Degraded,4,PLTU,1,Clear,14.8
204,204,2023-11-02 17:47:44.920375,2023,11,2,6,Wayang PLTBu,NTT,97,Gearbox PLTBMaster,Gearbox,1556.5,Operational,2,PLTB,6,Thunderstorm,35.7
205,205,2024-10-28 16:06:44.920375,2024,10,28,14,Grati,Jawa Tengah,72,Cooling Tower GeoCool,Heat Exchanger,1630.77,Failed,4,PLTU,5,Rain Showers,28.4
206,206,2024-11-04 11:21:44.920375,2024,11,4,18,Jeneponto,Banten,89,Cooling Tower GeoCool,Steam Turbine,1439.66,Degraded,4,PLTU,1,Clear,24.7
207,207,2024-09-05 12:00:44.920375,2024,9,5,18,Jeneponto,Banten,37,PLTB Turbine G100,Turbine,1889.77,Standby,2,PLTB,8,Hazy,33.7
208,208,2024-11-16 15:27:44.920375,2024,11,16,11,Paiton,Sumatera Selatan,62,PLTB Turbine Vestas V120,Gearbox,989.8,Standby,2,PLTB,8,Hazy,39.0
209,209,2025-03-03 06:12:44.920375,2025,3,3,24,Rantau Dedap,Jawa Barat,41,Kaplan Turbine FlowMax,Generator,1406.76,Degraded,3,PLTA,1,Clear,35.2
210,210,2025-02-28 03:30:44.920375,2025,2,28,19,Likupang,DKI Jakarta,17,Cooling Tower GeoCool,Heat Exchanger,1415.5,Maintenance,4,PLTU,4,Overcast,37.2
211,211,2024-02-12 11:40:44.920375,2024,2,12,10,Mataloko,Lampung,49,Kaplan Turbine FlowMax,Generator,1561.63,Operational,3,PLTA,4,Overcast,29.2
212,212,2023-07-15 15:55:44.920375,2023,7,15,17,Sidrap,NTT,60,Binary Cycle Plant GeoFlow,Heat Exchanger,1910.38,Operational,4,PLTU,6,Thunderstorm,14.0
213,213,2024-08-21 01:19:44.920375,2024,8,21,14,Grati,Jawa Tengah,74,Steam Turbine BioSteam Z,Gasifier,1119.25,Degraded,5,PLTG,5,Rain Showers,37.7
214,214,2025-04-04 21:15:44.920375,2025,4,4,9,Ulumbu,Sulawesi Selatan,63,Wellhead Unit AlphaTherm,Steam Turbine,1361.18,Maintenance,4,PLTU,2,Partly Cloudy,27.5
215,215,2024-12-03 05:43:44.920375,2024,12,3,16,Tambak Lorok,Sulawesi Utara,46,Steam Turbine BioSteam Z,Turbine,266.16,Operational,5,PLTG,6,Thunderstorm,28.9
216,216,2024-08-15 18:12:44.920375,2024,8,15,6,Wayang PLTBu,NTT,88,Blade Set AeroPro,Turbine,516.54,Operational,2,PLTB,1,Clear,35.2
217,217,2024-03-29 05:23:44.920375,2024,3,29,3,Saguling,Jawa Tengah,64,Kaplan Turbine FlowMax,Turbine,501.4,Degraded,3,PLTA,2,Partly Cloudy,24.8
218,218,2023-10-04 04:37:44.920375,2023,10,4,11,Paiton,Sumatera Selatan,28,PLTB Turbine Vestas V120,Generator,1923.59,Standby,2,PLTB,8,Hazy,37.4
219,219,2025-03-17 18:44:44.920375,2025,3,17,12,Suralaya,Jawa Timur,38,Gasifier WoodChip X200,Feeder System,1292.08,Maintenance,5,PLTG,1,Clear,26.3
220,220,2023-07-27 12:30:44.920375,2023,7,27,19,Likupang,DKI Jakarta,94,Pelletizer BioFuel,Boiler,1645.78,Maintenance,5,PLTG,7,Foggy,28.4
221,221,2024-05-19 08:07:44.920375,2024,5,19,20,Gunung Salak,Sulawesi Selatan,30,PLTG Generator CAT D1000,Generator Set,773.18,Standby,6,PLTG,1,Clear,18.1
222,222,2025-01-02 11:17:44.920375,2025,1,2,24,Rantau Dedap,Jawa Barat,73,Wellhead Unit AlphaTherm,Steam Turbine,1748.67,Failed,4,PLTU,2,Partly Cloudy,38.8
223,223,2023-06-15 01:51:44.920375,2023,6,15,13,Tanjung Jati B,Jawa Barat,75,Kaplan Turbine FlowMax,Generator,751.65,Standby,3,PLTA,8,Hazy,21.0
224,224,2023-06-27 03:12:44.920375,2023,6,27,3,Saguling,Jawa Tengah,60,Binary Cycle Plant GeoFlow,Heat Exchanger,1805.63,Degraded,4,PLTU,6,Thunderstorm,19.3
225,225,2023-12-12 01:26:44.920375,2023,12,12,12,Suralaya,Jawa Timur,77,Wellhead Unit AlphaTherm,Steam Turbine,446.28,Failed,4,PLTU,6,Thunderstorm,13.2
226,226,2024-05-04 05:12:44.920375,2024,5,4,19,Likupang,DKI Jakarta,23,Generator PLTAGenX,Spillway Gate,576.87,Standby,3,PLTA,3,Cloudy,30.8
227,227,2025-01-06 07:55:44.920375,2025,1,6,23,Sorik Marapi,Jawa Timur,64,Kaplan Turbine FlowMax,Turbine,298.95,Degraded,3,PLTA,5,Rain Showers,28.4
228,228,2023-09-24 23:04:44.920375,2023,9,24,22,Dieng,Sumatera Selatan,92,PLTG Boiler BioBurn R1,Gasifier,1077.63,Standby,5,PLTG,4,Overcast,20.5
229,229,2024-12-19 20:34:44.920375,2024,12,19,15,Muara Karang,Sumatera Utara,7,PLTS Panel Array Alpha,Mounting System,994.01,Operational,1,PLTS,2,Partly Cloudy,12.3
230,230,2023-11-15 11:23:44.920375,2023,11,15,16,Tambak Lorok,Sulawesi Utara,36,Wellhead Unit AlphaTherm,Wellhead,1428.62,Standby,4,PLTU,6,Thunderstorm,15.5
231,231,2024-09-03 13:14:44.920375,2024,9,3,2,Cirata,Jawa Barat,31,Wellhead Unit AlphaTherm,Condenser,1030.06,Operational,4,PLTU,1,Clear,30.9
232,232,2023-08-20 08:23:44.920375,2023,8,20,18,Jeneponto,Banten,35,Pelletizer BioFuel,Gasifier,134.88,Degraded,5,PLTG,7,Foggy,38.6
233,233,2023-12-15 11:19:44.920375,2023,12,15,1,Karangkates,Jawa Timur,60,Binary Cycle Plant GeoFlow,Heat Exchanger,1137.98,Maintenance,4,PLTU,2,Partly Cloudy,22.3
234,234,2025-05-24 09:01:44.920375,2025,5,24,13,Tanjung Jati B,Jawa Barat,96,Steam Turbine BioSteam Z,Turbine,603.16,Maintenance,5,PLTG,2,Partly Cloudy,36.9
235,235,2024-08-17 16:20:44.920375,2024,8,17,13,Tanjung Jati B,Jawa Barat,100,Gearbox PLTBMaster,Generator,165.66,Failed,2,PLTB,5,Rain Showers,35.4
236,236,2025-05-07 12:26:44.920375,2025,5,7,15,Muara Karang,Sumatera Utara,39,PLTS Panel B-Series X,Mounting System,1778.71,Operational,1,PLTS,4,Overcast,17.1
237,237,2024-07-08 04:41:44.920375,2024,7,8,21,Patuha,Lampung,98,Wellhead Unit AlphaTherm,Steam Turbine,375.33,Maintenance,4,PLTU,2,Partly Cloudy,14.6
238,238,2024-11-28 19:59:44.920375,2024,11,28,14,Grati,Jawa Tengah,11,Pelton Wheel AquaForce,Generator,1009.86,Operational,3,PLTA,1,Clear,34.8
239,239,2025-01-14 03:20:44.920375,2025,1,14,16,Tambak Lorok,Sulawesi Utara,90,Generator PLTAGenX,Turbine,1696.21,Operational,3,PLTA,3,Cloudy,23.5
240,240,2023-09-28 00:23:44.920375,2023,9,28,12,Suralaya,Jawa Timur,36,Wellhead Unit AlphaTherm,Wellhead,1239.06,Standby,4,PLTU,1,Clear,23.0
241,241,2023-10-20 05:40:44.920375,2023,10,20,10,Mataloko,Lampung,8,Gearbox PLTBMaster,Generator,864.29,Standby,2,PLTB,7,Foggy,14.8
242,242,2024-07-11 20:39:44.920375,2024,7,11,19,Likupang,DKI Jakarta,71,PLTG Boiler BioBurn R1,Feeder System,1503.71,Failed,5,PLTG,5,Rain Showers,14.7
243,243,2025-01-20 09:26:44.920375,2025,1,20,1,Karangkates,Jawa Timur,98,Wellhead Unit AlphaTherm,Steam Turbine,1489.89,Maintenance,4,PLTU,6,Thunderstorm,26.3
244,244,2023-12-19 15:40:44.920375,2023,12,19,18,Jeneponto,Banten,2,PLTA Turbine T-Francis,Generator,508.32,Standby,3,PLTA,2,Partly Cloudy,13.5
245,245,2023-11-05 20:14:44.920375,2023,11,5,4,Kamojang,Sumatera Utara,52,PLTG Boiler BioBurn R1,Gasifier,440.78,Operational,5,PLTG,8,Hazy,28.9
246,246,2025-01-20 18:09:44.920375,2025,1,20,1,Karangkates,Jawa Timur,33,Pelletizer BioFuel,Feeder System,201.59,Standby,5,PLTG,3,Cloudy,13.8
247,247,2023-09-21 10:12:44.920375,2023,9,21,2,Cirata,Jawa Barat,38,Gasifier WoodChip X200,Feeder System,1471.94,Degraded,5,PLTG,1,Clear,31.2
248,248,2023-09-26 07:53:44.920375,2023,9,26,19,Likupang,DKI Jakarta,61,Inverter SolMax 5000,Inverter,1849.09,Degraded,1,PLTS,3,Cloudy,24.2
249,249,2023-10-26 15:22:44.920375,2023,10,26,20,Gunung Salak,Sulawesi Selatan,87,Binary Cycle Plant GeoFlow,Condenser,1989.34,Maintenance,4,PLTU,3,Cloudy,17.2
250,250,2025-02-16 08:56:44.920375,2025,2,16,7,Sibayak,Banten,29,PLTB Turbine Vestas V120,Nacelle,1900.44,Degraded,2,PLTB,6,Thunderstorm,27.6
251,251,2023-06-08 15:53:44.920375,2023,6,8,7,Sibayak,Banten,82,Wellhead Unit AlphaTherm,Condenser,326.39,Maintenance,4,PLTU,4,Overcast,20.2
252,252,2024-01-03 10:20:44.920375,2024,1,3,7,Sibayak,Banten,64,Kaplan Turbine FlowMax,Turbine,915.69,Failed,3,PLTA,3,Cloudy,20.0
253,253,2024-05-19 20:01:44.920375,2024,5,19,8,Lahendong,DKI Jakarta,58,Steam Turbine GeoPower X1,Wellhead,959.58,Operational,4,PLTU,1,Clear,17.8
254,254,2023-06-23 17:21:44.920375,2023,6,23,3,Saguling,Jawa Tengah,20,Alternator PLTGGen Pro,Fuel System,1592.66,Standby,6,PLTG,1,Clear,12.0
255,255,2024-08-18 16:19:44.920375,2024,8,18,3,Saguling,Jawa Tengah,43,Binary Cycle Plant GeoFlow,Wellhead,381.32,Failed,4,PLTU,6,Thunderstorm,18.5
256,256,2023-11-03 23:25:44.920375,2023,11,3,13,Tanjung Jati B,Jawa Barat,52,PLTG Boiler BioBurn R1,Gasifier,689.19,Operational,5,PLTG,8,Hazy,32.5
257,257,2024-02-22 07:53:44.920375,2024,2,22,12,Suralaya,Jawa Timur,68,Gearbox PLTBMaster,Gearbox,1670.08,Maintenance,2,PLTB,5,Rain Showers,19.0
258,258,2024-05-01 05:38:44.920375,2024,5,1,2,Cirata,Jawa Barat,84,PLTS Panel Array Alpha,Tracker,685.97,Standby,1,PLTS,1,Clear,21.5
259,259,2024-04-04 07:10:44.920375,2024,4,4,6,Wayang PLTBu,NTT,36,Wellhead Unit AlphaTherm,Wellhead,1162.22,Standby,4,PLTU,8,Hazy,23.8
260,260,2025-03-01 11:21:44.920375,2025,3,1,14,Grati,Jawa Tengah,94,Pelletizer BioFuel,Boiler,1267.93,Degraded,5,PLTG,1,Clear,29.0
261,261,2024-04-23 20:51:44.920375,2024,4,23,12,Suralaya,Jawa Timur,48,PLTA Turbine T-Francis,Spillway Gate,1760.71,Standby,3,PLTA,1,Clear,17.0
262,262,2025-05-06 11:15:44.920375,2025,5,6,25,Muara Laboh,Jawa Tengah,46,Steam Turbine BioSteam Z,Turbine,625.67,Failed,5,PLTG,7,Foggy,34.6
263,263,2025-02-12 22:43:44.920375,2025,2,12,13,Tanjung Jati B,Jawa Barat,73,Wellhead Unit AlphaTherm,Steam Turbine,1990.98,Maintenance,4,PLTU,6,Thunderstorm,16.9
264,264,2024-04-04 03:21:44.920375,2024,4,4,24,Rantau Dedap,Jawa Barat,44,PLTG Generator CAT D1000,Exhaust System,1725.89,Degraded,6,PLTG,3,Cloudy,22.1
265,265,2024-03-31 04:27:44.920375,2024,3,31,8,Lahendong,DKI Jakarta,95,Pelletizer BioFuel,Feeder System,344.15,Operational,5,PLTG,7,Foggy,19.2
266,266,2023-09-30 12:46:44.920375,2023,9,30,15,Muara Karang,Sumatera Utara,3,Pelletizer BioFuel,Turbine,145.75,Standby,5,PLTG,8,Hazy,27.9
267,267,2023-12-20 14:50:44.920375,2023,12,20,4,Kamojang,Sumatera Utara,62,PLTB Turbine Vestas V120,Gearbox,1677.89,Degraded,2,PLTB,4,Overcast,28.0
268,268,2024-10-08 03:48:44.920375,2024,10,8,4,Kamojang,Sumatera Utara,79,Pelletizer BioFuel,Feeder System,1440.47,Standby,5,PLTG,7,Foggy,27.2
269,269,2024-01-28 09:38:44.920375,2024,1,28,24,Rantau Dedap,Jawa Barat,55,PLTA Turbine T-Francis,Turbine,1669.05,Operational,3,PLTA,2,Partly Cloudy,33.8
270,270,2024-01-29 09:21:44.920375,2024,1,29,1,Karangkates,Jawa Timur,81,PLTG Generator CAT D1000,Engine,1705.76,Degraded,6,PLTG,7,Foggy,28.0
271,271,2024-05-09 21:21:44.920375,2024,5,9,6,Wayang PLTBu,NTT,44,PLTG Generator CAT D1000,Exhaust System,110.87,Maintenance,6,PLTG,5,Rain Showers,22.8
272,272,2024-03-31 16:21:44.920375,2024,3,31,13,Tanjung Jati B,Jawa Barat,85,Pelletizer BioFuel,Boiler,502.19,Maintenance,5,PLTG,6,Thunderstorm,19.4
273,273,2025-02-11 19:45:44.920375,2025,2,11,1,Karangkates,Jawa Timur,12,Steam Turbine BioSteam Z,Boiler,1232.42,Degraded,5,PLTG,5,Rain Showers,11.3
274,274,2024-01-28 09:11:44.920375,2024,1,28,4,Kamojang,Sumatera Utara,11,Pelton Wheel AquaForce,Generator,1290.62,Operational,3,PLTA,5,Rain Showers,37.7
275,275,2024-01-16 07:38:44.920375,2024,1,16,15,Muara Karang,Sumatera Utara,8,Gearbox PLTBMaster,Generator,737.86,Degraded,2,PLTB,6,Thunderstorm,29.2
276,276,2024-10-13 17:12:44.920375,2024,10,13,19,Likupang,DKI Jakarta,89,Cooling Tower GeoCool,Steam Turbine,1673.89,Standby,4,PLTU,6,Thunderstorm,13.0
277,277,2023-11-07 03:52:44.920375,2023,11,7,2,Cirata,Jawa Barat,10,PLTB Turbine Vestas V120,Turbine,270.4,Operational,2,PLTB,8,Hazy,15.6
278,278,2024-01-01 18:21:44.920375,2024,1,1,19,Likupang,DKI Jakarta,94,Pelletizer BioFuel,Boiler,1855.72,Operational,5,PLTG,8,Hazy,10.9
279,279,2024-06-27 03:03:44.920375,2024,6,27,17,Sidrap,NTT,89,Cooling Tower GeoCool,Steam Turbine,1889.39,Failed,4,PLTU,1,Clear,16.3
280,280,2024-11-12 08:55:44.920375,2024,11,12,7,Sibayak,Banten,83,PLTG Boiler BioBurn R1,Gasifier,460.83,Operational,5,PLTG,7,Foggy,26.9
281,281,2024-04-13 08:18:44.920375,2024,4,13,14,Grati,Jawa Tengah,74,Steam Turbine BioSteam Z,Gasifier,1116.88,Operational,5,PLTG,1,Clear,36.6
282,282,2024-05-03 07:14:44.920375,2024,5,3,8,Lahendong,DKI Jakarta,31,Wellhead Unit AlphaTherm,Condenser,872.51,Maintenance,4,PLTU,6,Thunderstorm,38.0
283,283,2024-02-05 09:51:44.920375,2024,2,5,14,Grati,Jawa Tengah,96,Steam Turbine BioSteam Z,Turbine,154.98,Maintenance,5,PLTG,7,Foggy,23.1
284,284,2025-04-18 11:43:44.920375,2025,4,18,20,Gunung Salak,Sulawesi Selatan,46,Steam Turbine BioSteam Z,Turbine,1358.27,Failed,5,PLTG,4,Overcast,20.4
285,285,2024-01-01 23:14:44.920375,2024,1,1,19,Likupang,DKI Jakarta,2,PLTA Turbine T-Francis,Generator,796.37,Maintenance,3,PLTA,1,Clear,15.7
286,286,2024-11-17 13:08:44.920375,2024,11,17,25,Muara Laboh,Jawa Tengah,86,Steam Turbine GeoPower X1,Heat Exchanger,703.84,Standby,4,PLTU,5,Rain Showers,13.8
287,287,2023-06-09 10:14:44.920375,2023,6,9,10,Mataloko,Lampung,9,Alternator PLTGGen Pro,Engine,232.0,Operational,6,PLTG,7,Foggy,33.0
288,288,2023-07-31 10:53:44.920375,2023,7,31,22,Dieng,Sumatera Selatan,30,PLTG Generator CAT D1000,Generator Set,397.87,Standby,6,PLTG,6,Thunderstorm,34.5
289,289,2024-12-06 08:38:44.920375,2024,12,6,4,Kamojang,Sumatera Utara,9,Alternator PLTGGen Pro,Engine,779.22,Operational,6,PLTG,2,Partly Cloudy,36.1
290,290,2024-10-17 00:28:44.920375,2024,10,17,20,Gunung Salak,Sulawesi Selatan,6,PLTS Panel B-Series X,Mounting System,861.83,Degraded,1,PLTS,3,Cloudy,13.8
291,291,2025-01-10 01:19:44.920375,2025,1,10,23,Sorik Marapi,Jawa Timur,82,Wellhead Unit AlphaTherm,Condenser,1169.32,Operational,4,PLTU,6,Thunderstorm,37.2
292,292,2023-08-15 06:07:44.920375,2023,8,15,3,Saguling,Jawa Tengah,87,Binary Cycle Plant GeoFlow,Condenser,815.28,Failed,4,PLTU,3,Cloudy,27.4
293,293,2024-07-31 13:39:44.920375,2024,7,31,9,Ulumbu,Sulawesi Selatan,25,Kaplan Turbine FlowMax,Penstock,1195.25,Maintenance,3,PLTA,4,Overcast,15.1
